macro,name,source_url
SWITCH_PARK_AFTER_BRIDGE_VARIABLE,park_after_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L220
SWITCH_PARK_AFTER_EARLY_BRIDGE_VARIABLE,park_after_early_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L221
SWITCH_TRANSFER_AFTER_BRIDGE_VARIABLE,transfer_after_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L222
SWITCH_TRANSFER_AFTER_EARLY_BRIDGE_VARIABLE,transfer_after_early_bridge,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L223
SWITCH_EXEC_AFTER_BRIDGE_APP_VARIABLE,exec_after_bridge_app,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L224
SWITCH_EXEC_AFTER_BRIDGE_ARG_VARIABLE,exec_after_bridge_arg,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L225
SWITCH_MAX_FORWARDS_VARIABLE,max_forwards,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L226
SWITCH_RFC7989_SESSION_ID_VARIABLE,session_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L227
SWITCH_RFC7989_REMOTE_SESSION_ID_VARIABLE,remote_session_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L228
SWITCH_RFC7989_APP_SESSION_ID_VARIABLE,app_session_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L229
SWITCH_RFC7989_GENERIC_PARAM_VARIABLE,generic_param_session_uuid,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L230
SWITCH_MAX_SESSION_TRANSFERS_VARIABLE,max_session_transfers,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L231
SWITCH_DISABLE_APP_LOG_VARIABLE,disable_app_log,https://github.com/signalwire/freeswitch/blob/ef32e205295e29f034f1453ad245ba5efb07b94a/src/include/switch_types.h#L232
